Year,Squad,Age,SweeperAvgDist,Per90MinutesnpxG,StandardSoT/90,ShortCmp%,MediumCmp%,LongCmp%,PassTypesTB,PassTypesSw,SCA90,Tkl+Int,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd
2020,es Sevilla,27.9,17.7,1.42,6.12,91.2,89.2,64.3,3,92,28.13,185,1495,2857,1534
2020,ua Shakhtar,24.7,10.6,0.78,2.83,90.9,90.9,57.1,4,28,12.33,144,1513,1695,520
2020,ru Zenit,27.8,10.6,0.93,2.33,86.5,86,59.6,2,27,17.33,188,1238,1582,896
2020,nl vs Ajax,26.6,13.5,1.21,4.5,81.9,79.3,57.5,7,21,19.67,217,1168,1536,754
2020,it vs Atalanta,26,16.9,1.11,4.5,89.9,87.4,54.5,6,24,19.75,257,1706,2683,1313
2020,es vs Atlético Madrid,26.7,13.3,1.09,2.75,87.7,85.2,58.4,4,26,19.5,211,1630,2499,1240
2020,es vs Barcelona,26.8,10.5,1.22,3.12,90.5,88.2,61.1,12,31,15.87,310,1859,2056,760
2020,tr vs Başakşehir,26,14.6,1.77,5.67,90.3,86.7,64.5,7,26,29.33,158,1164,2206,1080
2020,de vs Bayern Munich,27.4,13.4,1.4,4.8,87.2,83.3,53.5,11,31,19,293,2225,2197,1122
2020,eng vs Chelsea,27.4,15.9,0.69,2.77,89.2,86.8,58.6,2,83,16.92,324,2561,3889,1872
2020,be vs Club Brugge,27.1,8.9,1.42,4.5,88.9,88.5,59.7,9,24,21.83,169,1353,1742,868
